version,migration_name,start_time,end_time,breakpoint
20180220023138,CreateActivityTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023144,CreateActivitySeenTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023152,CreateCollectionsPresetsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023157,CreateCollectionsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023202,CreateFieldsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023208,CreateFilesTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023213,CreateFoldersTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023217,CreateRolesTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023226,CreatePermissionsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023232,CreateRelationsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023238,CreateRevisionsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023243,CreateSettingsTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180220023248,CreateUsersTable,2019-01-18 19:19:45,2019-01-18 19:19:45,0
20180426173310,CreateUserRoles,2019-01-18 19:19:45,2019-01-18 19:19:45,0
